id,name,nationality,position,age,sale_price_m,buy_price_m,contract_years,wages_per_week,homegrown
gka,Guglielmo Vicario,Italy,GK,29,25,25,2,75000,no
gkb,Antonin Kinsky,Czech Republic,GK,23,15,15,5,30000,no
gkc,Brandon Austin,England,GK,27,5,5,3,15000,yes
lcba,Micky van de Ven,Netherlands,LCB,25,70,70,3,90000,no
lcbb,Marcos Senesi,Argentina,LCB,29,50,50,4,100000,no
rcba,Cristian Romero,Argentina,RCB,28,55,55,3,195000,no
rcbb,Kevin Danso,Austria,RCB,27,25,25,4,65000,yes
rcbc,Radu Dragusin,Romania,RCB,24,15,15,4,85000,no
lba,Destiny Udogie,Italy,LB,23,35,35,4,75000,no
lbb,Andy Robertson,Scotland,LB,32,20,20,2,180000,no
lbc,Souza,Brazil,LB,19,15,15,5,25000,no
rba,Pedro Porro,Spain,RB,26,45,45,5,180000,no
rbb,Djed Spence,England,RB,25,35,35,3,40000,yes
lcma,Rodrigo Bentancur,Uruguay,LCM,28,30,30,3,75000,no
lcmb,Archie Gray,England,LCM,20,35,35,4,75000,no
rcma,Conor Gallagher,England,RCM,26,40,40,5,160000,no
rcmb,Pape Matar Sarr,Senegal,RCM,23,30,30,4,70000,no
rcmc,Lucas Bergvall,Sweden,RCM,19,35,35,5,60000,no
cama,James Maddison,England,CAM,29,35,35,2,170000,yes
lwa,Mathys Tel,France,LW,21,30,30,5,55000,no
sta,Dominic Solanke,England,ST,28,35,35,4,140000,yes
stb,Richarlison,Brazil,ST,29,25,25,1,90000,no
